States/UTs,Year,crimes,count
A&N Islands,2014,Public Transport,0
A&N Islands,2014,Public Transport,0
A&N Islands,2014,Riots,0
A&N Islands,2014,Riots,0
A&N Islands,2014,Robbery,0
A&N Islands,2014,Robbery,0
A&N Islands,2014,SC/ST Conflict Riots,0
A&N Islands,2014,SC/ST Conflict Riots,0
A&N Islands,2014,SC/ST Conflict Riots,0
A&N Islands,2014,Sectarian Riots,0
A&N Islands,2014,Sectarian Riots,0
A&N Islands,2014,Sectarian Riots,0
A&N Islands,2014,Sedition,0
A&N Islands,2014,Sedition,0
A&N Islands,2014,Sedition,0
A&N Islands,2014,Sexual Harassment,0
A&N Islands,2014,Simple Hurt,0
A&N Islands,2014,Stalking,0
A&N Islands,2014,Stalking,0
A&N Islands,2014,State Offences,0
A&N Islands,2014,State Offences,0
A&N Islands,2014,State Offences,0
A&N Islands,2014,Student Riots,0
A&N Islands,2014,Student Riots,0
A&N Islands,2014,Student Riots,0
A&N Islands,2014,Theft,0
A&N Islands,2014,Unlawful Assembly,0
A&N Islands,2014,Unlawful Assembly,0
A&N Islands,2014,Unnatural Offence,0
A&N Islands,2014,Unnatural Offence,0
A&N Islands,2014,Using Fake Currency,0
A&N Islands,2014,Using Fake Currency,0
A&N Islands,2014,Vehicle Theft,0
A&N Islands,2014,Victim Identity Disclosure,0
A&N Islands,2014,Victim Identity Disclosure,0
A&N Islands,2014,Victim Identity Disclosure,0
A&N Islands,2014,Voyeurism,0
A&N Islands,2014,Voyeurism,0
A&N Islands,2014,Workplace,0
A&N Islands,2014,Workplace,0
A&N Islands,2014,Workplace,0
Andhra Pradesh,2014,Theft,2016
Andhra Pradesh,2014,Rash Driving,1831
Andhra Pradesh,2014,Rash Driving,1366
Andhra Pradesh,2014,Theft,1358
Andhra Pradesh,2014,Other Theft,1331
Andhra Pradesh,2014,Rash Driving,1313
Andhra Pradesh,2014,Rash Driving,1173
Andhra Pradesh,2014,Rash Driving,1165
Andhra Pradesh,2014,Theft,1148
Andhra Pradesh,2014,Theft,1096
Andhra Pradesh,2014,Theft,1085
Andhra Pradesh,2014,Other Theft,1082
Andhra Pradesh,2014,Theft,1058
Andhra Pradesh,2014,Theft,1045
Andhra Pradesh,2014,Rash Driving,1038
Andhra Pradesh,2014,Other Theft,957
Andhra Pradesh,2014,Rash Driving,948
Andhra Pradesh,2014,Rash Driving,913
Andhra Pradesh,2014,Theft,903
Andhra Pradesh,2014,Rash Driving,895
Andhra Pradesh,2014,Rash Driving,846
Andhra Pradesh,2014,Rash Driving,785
Andhra Pradesh,2014,Theft,753
Andhra Pradesh,2014,Other Theft,743
Andhra Pradesh,2014,Theft,711
Andhra Pradesh,2014,Other Theft,696
Andhra Pradesh,2014,Rash Driving,691
Andhra Pradesh,2014,Vehicle Theft,685
Andhra Pradesh,2014,Other Theft,678
Andhra Pradesh,2014,Death by Negligence,668
Andhra Pradesh,2014,Other Theft,666
Andhra Pradesh,2014,Domestic Cruelty,661
Andhra Pradesh,2014,Domestic Cruelty,642
Andhra Pradesh,2014,Negligent Driving Deaths,642
Andhra Pradesh,2014,Cheating,639
Andhra Pradesh,2014,Death by Negligence,638
Andhra Pradesh,2014,Negligent Driving Deaths,638
Andhra Pradesh,2014,Theft,638
Andhra Pradesh,2014,Theft,617
Andhra Pradesh,2014,Death by Negligence,614
Andhra Pradesh,2014,Domestic Cruelty,613
Andhra Pradesh,2014,Negligent Driving Deaths,608
Andhra Pradesh,2014,Theft,563
Andhra Pradesh,2014,Other Theft,556
Andhra Pradesh,2014,Other Theft,554
Andhra Pradesh,2014,Death by Negligence,538
Andhra Pradesh,2014,Negligent Driving Deaths,538
Andhra Pradesh,2014,Cheating,531
Andhra Pradesh,2014,Theft,528
Andhra Pradesh,2014,Theft,521
Andhra Pradesh,2014,Assault on Women,519
Andhra Pradesh,2014,Other Theft,513
Andhra Pradesh,2014,Other Theft,511
Andhra Pradesh,2014,Rash Driving,507
Andhra Pradesh,2014,Death by Negligence,506
Andhra Pradesh,2014,Death by Negligence,502
Andhra Pradesh,2014,Negligent Driving Deaths,495
Andhra Pradesh,2014,Death by Negligence,494
Andhra Pradesh,2014,Negligent Driving Deaths,494
Andhra Pradesh,2014,Negligent Driving Deaths,490
Andhra Pradesh,2014,Vehicle Theft,482
Andhra Pradesh,2014,Trespass / Burglary,468
Andhra Pradesh,2014,Death by Negligence,466
Andhra Pradesh,2014,Domestic Cruelty,464
Andhra Pradesh,2014,Domestic Cruelty,454
Andhra Pradesh,2014,Modesty Insult,452
Andhra Pradesh,2014,Other Locations,452
Andhra Pradesh,2014,Other Theft,445
Andhra Pradesh,2014,Negligent Driving Deaths,440
Andhra Pradesh,2014,Assault on Women,436
Andhra Pradesh,2014,Rash Driving,429
Andhra Pradesh,2014,Death by Negligence,418
Andhra Pradesh,2014,Negligent Driving Deaths,418
Andhra Pradesh,2014,Death by Negligence,417
Andhra Pradesh,2014,Negligent Driving Deaths,417
Andhra Pradesh,2014,Trespass / Burglary,415
Andhra Pradesh,2014,Cheating,413
Andhra Pradesh,2014,Other Theft,413
Andhra Pradesh,2014,Theft,413
Andhra Pradesh,2014,Cheating,410
Andhra Pradesh,2014,Other Theft,408
Andhra Pradesh,2014,Assault on Women,405
Andhra Pradesh,2014,Assault on Women,403
Andhra Pradesh,2014,Domestic Cruelty,402
Andhra Pradesh,2014,Vehicle Theft,401
Andhra Pradesh,2014,Rash Driving,394
Andhra Pradesh,2014,Trespass / Burglary,392
Andhra Pradesh,2014,Cheating,391
Andhra Pradesh,2014,Theft,388
Andhra Pradesh,2014,Trespass / Burglary,381
Andhra Pradesh,2014,Other Theft,380
Andhra Pradesh,2014,Domestic Cruelty,371
Andhra Pradesh,2014,Vehicle Theft,367
Andhra Pradesh,2014,Domestic Cruelty,362
Andhra Pradesh,2014,Domestic Cruelty,362
Andhra Pradesh,2014,Vehicle Theft,362
Andhra Pradesh,2014,Theft,361
Andhra Pradesh,2014,Death by Negligence,360
Andhra Pradesh,2014,Trespass / Burglary,359
Andhra Pradesh,2014,Assault on Women,354
Andhra Pradesh,2014,Negligent Driving Deaths,353
Andhra Pradesh,2014,Vehicle Theft,353
Andhra Pradesh,2014,Modesty Insult,347
Andhra Pradesh,2014,Other Locations,347
Andhra Pradesh,2014,Vehicle Theft,347
Andhra Pradesh,2014,Trespass / Burglary,346
Andhra Pradesh,2014,Domestic Cruelty,345
Andhra Pradesh,2014,Trespass / Burglary,345
Andhra Pradesh,2014,Other Theft,336
Andhra Pradesh,2014,Trespass / Burglary,334
Andhra Pradesh,2014,Domestic Cruelty,330
Andhra Pradesh,2014,Cheating,328
Andhra Pradesh,2014,Modesty Insult,327
Andhra Pradesh,2014,Other Locations,327
Andhra Pradesh,2014,Trespass / Burglary,323
Andhra Pradesh,2014,Trespass / Burglary,315
Andhra Pradesh,2014,Death by Negligence,312
Andhra Pradesh,2014,Negligent Driving Deaths,312
Andhra Pradesh,2014,Death by Negligence,308
Andhra Pradesh,2014,Negligent Driving Deaths,308
Andhra Pradesh,2014,Trespass / Burglary,302
Andhra Pradesh,2014,Domestic Cruelty,298
Andhra Pradesh,2014,Cheating,296
Andhra Pradesh,2014,Other Theft,296
Andhra Pradesh,2014,Assault on Women,295
Andhra Pradesh,2014,Trespass / Burglary,295
Andhra Pradesh,2014,Death by Negligence,284
Andhra Pradesh,2014,Assault on Women,279
Andhra Pradesh,2014,Domestic Cruelty,278
Andhra Pradesh,2014,Death by Negligence,272
Andhra Pradesh,2014,Negligent Driving Deaths,272
Andhra Pradesh,2014,Other Assault on Women,262
Andhra Pradesh,2014,Cheating,261
Andhra Pradesh,2014,Negligent Driving Deaths,259
Andhra Pradesh,2014,Breach of Trust,255
Andhra Pradesh,2014,Modesty Insult,251
Andhra Pradesh,2014,Other Locations,251
Andhra Pradesh,2014,Rash Driving,249
Andhra Pradesh,2014,Cheating,248
Andhra Pradesh,2014,Trespass / Burglary,247
Andhra Pradesh,2014,Trespass / Burglary,247
Andhra Pradesh,2014,Assault on Women,245
Andhra Pradesh,2014,Trespass / Burglary,244
Andhra Pradesh,2014,Cheating,242
Andhra Pradesh,2014,Vehicle Theft,240
Andhra Pradesh,2014,Cheating,239
Andhra Pradesh,2014,House Breaking,239
Andhra Pradesh,2014,Other Assault on Women,236
Andhra Pradesh,2014,Theft,236
Andhra Pradesh,2014,Other Assault on Women,233
Andhra Pradesh,2014,Modesty Insult,232
Andhra Pradesh,2014,Other Locations,230
Andhra Pradesh,2014,Trespass / Burglary,227
Andhra Pradesh,2014,Death by Negligence,226
Andhra Pradesh,2014,Negligent Driving Deaths,226
Andhra Pradesh,2014,Assault on Women,225
Andhra Pradesh,2014,Other Assault on Women,225
Andhra Pradesh,2014,Death by Negligence,223
Andhra Pradesh,2014,Negligent Driving Deaths,221
Andhra Pradesh,2014,Assault on Women,215
Andhra Pradesh,2014,Assault on Women,214
Andhra Pradesh,2014,Cheating,214
Andhra Pradesh,2014,Other Riots,214
Andhra Pradesh,2014,Riots,214
Andhra Pradesh,2014,Trespass / Burglary,214
Andhra Pradesh,2014,Modesty Insult,212
Andhra Pradesh,2014,Sexual Harassment,212
Andhra Pradesh,2014,Other Locations,211
Andhra Pradesh,2014,Other Assault on Women,210
Andhra Pradesh,2014,Trespass / Burglary,210
Andhra Pradesh,2014,Vehicle Theft,209
Andhra Pradesh,2014,Cheating,207
Andhra Pradesh,2014,Other Theft,206
Andhra Pradesh,2014,Modesty Insult,205
Andhra Pradesh,2014,Vehicle Theft,200
Andhra Pradesh,2014,Assault on Women,197
Andhra Pradesh,2014,Trespass / Burglary,195
Andhra Pradesh,2014,Trespass / Burglary,195
Andhra Pradesh,2014,Trespass / Burglary,195
Andhra Pradesh,2014,Vehicle Theft,193
Andhra Pradesh,2014,Vehicle Theft,192
Andhra Pradesh,2014,Domestic Cruelty,190
Andhra Pradesh,2014,Other Theft,184
Andhra Pradesh,2014,Theft,179
Andhra Pradesh,2014,Trespass / Burglary,178
Andhra Pradesh,2014,House Breaking,176
Andhra Pradesh,2014,Trespass / Burglary,176
Andhra Pradesh,2014,Trespass / Burglary,173
Andhra Pradesh,2014,Attempted Murder,171
Andhra Pradesh,2014,Attempted Murder,170
Andhra Pradesh,2014,Trespass / Burglary,170
Andhra Pradesh,2014,Domestic Cruelty,167
Andhra Pradesh,2014,Domestic Cruelty,166
Andhra Pradesh,2014,Domestic Cruelty,165
Andhra Pradesh,2014,Cheating,163
Andhra Pradesh,2014,Other Assault on Women,163
Andhra Pradesh,2014,Attempted Murder,162
Andhra Pradesh,2014,Other Assault on Women,162
Andhra Pradesh,2014,Assault on Women,160
Andhra Pradesh,2014,Other Assault on Women,160
Andhra Pradesh,2014,Sexual Harassment,159
Andhra Pradesh,2014,Trespass / Burglary,155
Andhra Pradesh,2014,Vehicle Theft,155
Andhra Pradesh,2014,Trespass / Burglary,154
Andhra Pradesh,2014,Cheating,153
Andhra Pradesh,2014,Kidnapping (Total),153
Andhra Pradesh,2014,Trespass / Burglary,152
Andhra Pradesh,2014,Other Assault on Women,150
Andhra Pradesh,2014,Cheating,149
Andhra Pradesh,2014,Assault on Women,147
Andhra Pradesh,2014,Non-Custodial Rape,146
Andhra Pradesh,2014,Rape,146
Andhra Pradesh,2014,Other Rape,145
Andhra Pradesh,2014,Trespass / Burglary,144
Andhra Pradesh,2014,Trespass / Burglary,144
Andhra Pradesh,2014,Vehicle Theft,141
Andhra Pradesh,2014,Attempted Murder,137
Andhra Pradesh,2014,Assault on Women,135
Andhra Pradesh,2014,Attempted Murder,135
Andhra Pradesh,2014,Other Assault on Women,135
Andhra Pradesh,2014,Murder,134
Andhra Pradesh,2014,Other Riots,134
Andhra Pradesh,2014,Riots,134
Andhra Pradesh,2014,Trespass / Burglary,131
Andhra Pradesh,2014,Kidnapping,130
Andhra Pradesh,2014,Kidnapping (Total),130
Andhra Pradesh,2014,Assault on Women,129
Andhra Pradesh,2014,Death by Negligence,128
Andhra Pradesh,2014,Negligent Driving Deaths,128
Andhra Pradesh,2014,Sexual Harassment,126
Andhra Pradesh,2014,Kidnapping (Total),125
Andhra Pradesh,2014,Other Assault on Women,124
Andhra Pradesh,2014,Riots,124
Andhra Pradesh,2014,Other Assault on Women,123
Andhra Pradesh,2014,Other Theft,122
Andhra Pradesh,2014,Assault on Women,121
Andhra Pradesh,2014,Other Assault on Women,121
Andhra Pradesh,2014,Trespass / Burglary,121
Andhra Pradesh,2014,Other Riots,120
Andhra Pradesh,2014,Murder,118
Andhra Pradesh,2014,Attempted Murder,117
Andhra Pradesh,2014,Modesty Insult,112
Andhra Pradesh,2014,Other Locations,112
Andhra Pradesh,2014,House Breaking,109
Andhra Pradesh,2014,Riots,108
Andhra Pradesh,2014,Trespass / Burglary,106
Andhra Pradesh,2014,Cheating,105
Andhra Pradesh,2014,Murder,105
Andhra Pradesh,2014,Political Riots,104
Andhra Pradesh,2014,Riots,104
Andhra Pradesh,2014,House Breaking,100
Andhra Pradesh,2014,Modesty Insult,99
Andhra Pradesh,2014,Breach of Trust,98
Andhra Pradesh,2014,Other Locations,98
Andhra Pradesh,2014,Sexual Harassment,98
Andhra Pradesh,2014,Breach of Trust,96
Andhra Pradesh,2014,Modesty Insult,94
Andhra Pradesh,2014,Other Locations,94
Andhra Pradesh,2014,Other Riots,94
Andhra Pradesh,2014,Vehicle Theft,92
Andhra Pradesh,2014,Domestic Cruelty,91
Andhra Pradesh,2014,Modesty Insult,91
Andhra Pradesh,2014,Stalking,91
Andhra Pradesh,2014,Cheating,90
Andhra Pradesh,2014,Murder,90
Andhra Pradesh,2014,Forced Marriage Kidnapping,88
Andhra Pradesh,2014,Trespass / Burglary,88
Andhra Pradesh,2014,Trespass / Burglary,88
Andhra Pradesh,2014,Other Locations,87
Andhra Pradesh,2014,Breach of Trust,86
Andhra Pradesh,2014,Attempted Murder,85
Andhra Pradesh,2014,Non-Custodial Rape,85
Andhra Pradesh,2014,Other Rape,85
Andhra Pradesh,2014,Rape,85
Andhra Pradesh,2014,Attempted Murder,84
Andhra Pradesh,2014,Kidnapping (Total),84
Andhra Pradesh,2014,Murder,84
Andhra Pradesh,2014,Non-Custodial Rape,84
Andhra Pradesh,2014,Other Kidnapping,84
Andhra Pradesh,2014,Other Rape,84
Andhra Pradesh,2014,Rape,84
Andhra Pradesh,2014,Riots,84
Andhra Pradesh,2014,Sexual Harassment,82
Andhra Pradesh,2014,Sexual Harassment,81
Andhra Pradesh,2014,Murder,80
Andhra Pradesh,2014,Non-Custodial Rape,80
Andhra Pradesh,2014,Rape,80
Andhra Pradesh,2014,Stalking,80
Andhra Pradesh,2014,Other Locations,79
Andhra Pradesh,2014,Other Rape,79
Andhra Pradesh,2014,Sexual Harassment,79
Andhra Pradesh,2014,Murder,78
Andhra Pradesh,2014,Riots,78
Andhra Pradesh,2014,Stalking,76
Andhra Pradesh,2014,Murder,75
Andhra Pradesh,2014,House Breaking,74
Andhra Pradesh,2014,Other Assault on Women,74
Andhra Pradesh,2014,Other Riots,74
Andhra Pradesh,2014,Attempted Murder,72
Andhra Pradesh,2014,Disrobing Assault,72
Andhra Pradesh,2014,Other Riots,72
Andhra Pradesh,2014,Breach of Trust,71
Andhra Pradesh,2014,Kidnapping,71
Andhra Pradesh,2014,Other Assault on Women,70
Andhra Pradesh,2014,Rash Driving,70
Andhra Pradesh,2014,Attempted Murder,68
Andhra Pradesh,2014,Breach of Trust,68
Andhra Pradesh,2014,Grievous Hurt,67
Andhra Pradesh,2014,Kidnapping (Total),67
Andhra Pradesh,2014,Kidnapping (Total),66
Andhra Pradesh,2014,Other Kidnapping,66
Andhra Pradesh,2014,Simple Hurt,66
Andhra Pradesh,2014,Attempted Murder,65
Andhra Pradesh,2014,Forced Marriage Kidnapping,64
Andhra Pradesh,2014,Grievous Hurt,64
Andhra Pradesh,2014,Kidnapping (Total),64
Andhra Pradesh,2014,Murder,64
Andhra Pradesh,2014,Non-Custodial Rape,64
Andhra Pradesh,2014,Other Rape,64
Andhra Pradesh,2014,Rape,64
Andhra Pradesh,2014,Simple Hurt,63
Andhra Pradesh,2014,Modesty Insult,62
Andhra Pradesh,2014,Other Locations,62
Andhra Pradesh,2014,Other Workplaces,62
Andhra Pradesh,2014,Disrobing Assault,61
Andhra Pradesh,2014,Other Assault on Women,61
Andhra Pradesh,2014,Assault on Women,60
Andhra Pradesh,2014,House Breaking,58
Andhra Pradesh,2014,House Breaking,58
Andhra Pradesh,2014,Non-Custodial Rape,58
Andhra Pradesh,2014,Rape,58
Andhra Pradesh,2014,Attempted Murder,57
Andhra Pradesh,2014,Modesty Insult,57
Andhra Pradesh,2014,Other Locations,57
Andhra Pradesh,2014,Vehicle Theft,57
Andhra Pradesh,2014,Breach of Trust,56
Andhra Pradesh,2014,Public Transport,56
Andhra Pradesh,2014,House Breaking,55
Andhra Pradesh,2014,House Breaking,55
Andhra Pradesh,2014,Other Rape,55
Andhra Pradesh,2014,Stalking,55
Andhra Pradesh,2014,Kidnapping (Total),53
Andhra Pradesh,2014,Arson,52
Andhra Pradesh,2014,Breach of Trust,52
Andhra Pradesh,2014,Grievous Hurt,52
Andhra Pradesh,2014,House Breaking,52
Andhra Pradesh,2014,House Breaking,52
Andhra Pradesh,2014,Vehicle Theft,52
Andhra Pradesh,2014,House Breaking,51
Andhra Pradesh,2014,Murder,51
Andhra Pradesh,2014,Murder,51
Andhra Pradesh,2014,Other Assault on Women,51
Andhra Pradesh,2014,Simple Hurt,51
Andhra Pradesh,2014,Arson,50
Andhra Pradesh,2014,Attempted Murder,50
Andhra Pradesh,2014,Kidnapping (Total),50
Andhra Pradesh,2014,Non-Custodial Rape,50
Andhra Pradesh,2014,Other Kidnapping,50
Andhra Pradesh,2014,Rape,50
Andhra Pradesh,2014,Sexual Harassment,50
Andhra Pradesh,2014,Extortion,49
Andhra Pradesh,2014,House Breaking,49
Andhra Pradesh,2014,Non-Custodial Rape,49
Andhra Pradesh,2014,Other Rape,49
Andhra Pradesh,2014,Rape,49
Andhra Pradesh,2014,Forgery,48
Andhra Pradesh,2014,Other Rape,48
Andhra Pradesh,2014,Robbery,48
Andhra Pradesh,2014,Attempted Murder,47
Andhra Pradesh,2014,Non-Custodial Rape,47
Andhra Pradesh,2014,Rape,47
Andhra Pradesh,2014,Attempted Rape,46
Andhra Pradesh,2014,Forgery,46
Andhra Pradesh,2014,Other Rape,46
Andhra Pradesh,2014,Robbery,46
Andhra Pradesh,2014,Arson,45
Andhra Pradesh,2014,Attempted Murder,45
Andhra Pradesh,2014,Disrobing Assault,45
Andhra Pradesh,2014,Disrobing Assault,44
Andhra Pradesh,2014,Grievous Hurt,44
Andhra Pradesh,2014,Robbery,44
Andhra Pradesh,2014,Murder,43
Andhra Pradesh,2014,Murder,43
Andhra Pradesh,2014,Simple Hurt,43
Andhra Pradesh,2014,Kidnapping (Total),42
Andhra Pradesh,2014,Grievous Hurt,41
Andhra Pradesh,2014,House Breaking,41
Andhra Pradesh,2014,Kidnapping (Total),41
Andhra Pradesh,2014,Simple Hurt,41
